,SecurityId,SecurityName,Accounts,BuyPriceType,BuyPrice,BuyPriceFactor,BuyVolume,SellPriceType,SellPrice,SellPriceFactor,SellVolume,Tag_A,Tag_B
37,s-301309,万得凯,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
38,s-001256,炜冈科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
39,s-688197,首药控股-U,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
40,s-300930,屹通新材,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
41,s-300479,神思电子,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
42,s-605177,东亚药业,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
43,s-301086,鸿富瀚,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
44,s-300824,北鼎股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
45,s-603685,晨丰科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
0,s-688383,新益昌,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
1,s-600727,鲁北化工,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
2,s-603610,麒盛科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
3,s-688103,国力股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
4,s-002780,三夫户外,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
5,s-000599,青岛双星,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
6,s-002891,中宠股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
7,s-603421,鼎信通讯,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
8,s-300250,初灵信息,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
9,s-002207,准油股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
10,s-300787,海能实业,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
11,s-300314,戴维医疗,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
12,s-002590,万安科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
13,s-000151,中成股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
14,s-600620,天宸股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
15,s-301186,超达装备,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
16,s-300771,智莱科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
17,s-300659,中孚信息,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
18,s-600805,悦达投资,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
19,s-688519,南亚新材,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
20,s-605169,洪通燃气,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
21,s-002630,华西能源,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
22,s-603332,苏州龙杰,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
23,s-688020,方邦股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
24,s-002879,长缆科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
25,s-300713,英可瑞,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
26,s-301192,泰祥股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
27,s-301133,金钟股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
28,s-002846,英联股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
29,s-300991,创益通,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
30,s-688260,昀冢科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
31,s-300870,欧陆通,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
